Employee ID,Full Name,department_id,Level,Hire Date,Is Active,Performance Rating
1001,Rahul Sharma,3,L1,2022-09-04,True,2.0
1002,Diya Patel,5,L4,2022-07-03,True,5.0
1003,Meera Nair,1,L5,2024-01-19,True,2.0
1004,Rohan Gupta,2,L4,2021-03-18,False,4.0
1005,Sana Patel,5,L5,2024-10-21,True,3.0
1006,Kabir Sharma,5,L5,2024-04-16,True,5.0
1007,Yash Iyer,3,L3,2023-04-26,True,3.0
1008,Isha Bose,1,L3,2024-12-15,True,3.0
1009,Tara Reddy,1,L3,2024-03-16,True,3.0
1010,Nikhil Iyer,5,L3,2024-10-16,True,
1011,Arjun Bose,1,L1,2021-01-24,True,
1012,Rahul Iyer,3,L1,2024-08-12,True,3.0
1013,Vikram Gupta,4,L2,2021-12-08,True,
1014,Yash Khan,1,L5,2022-05-05,True,4.0
1015,Rahul Nair,4,L2,2023-02-06,True,3.0
1016,Sana Gupta,1,L3,2023-01-05,True,4.0
1017,Nikhil Reddy,5,L5,2024-10-21,True,2.0
1018,Rahul Khan,4,L4,2024-07-04,True,5.0
1019,Kabir Nair,1,L4,2022-03-04,True,2.0
1020,Rohan Patel,1,L3,2021-10-01,False,3.0
1021,Rohan Gupta,5,L3,2023-10-12,True,3.0
1022,Zoya Bose,4,L3,2023-02-05,False,4.0
1023,Sana Sharma,3,L2,2023-09-12,True,2.0
1024,Kabir Gupta,5,L5,2023-06-06,True,3.0
1025,Nikhil Nair,5,L5,2024-04-26,True,5.0
1026,Zoya Iyer,2,L1,2022-01-26,True,4.0
1027,Priya Bose,2,L3,2024-06-03,True,3.0
1028,Nikhil Nair,4,L4,2022-10-20,True,
1029,Kabir Patel,3,L4,2024-12-25,True,3.0
1030,Nikhil Patel,4,L4,2024-08-13,True,3.0
1031,Rohan Sharma,2,L2,2022-10-15,True,3.0
1032,Zoya Iyer,5,L2,2024-09-18,True,2.0
1033,Rohan Khan,1,L2,2024-04-01,True,4.0
1034,Nikhil Gupta,5,L5,2022-07-27,True,4.0
1035,Tara Reddy,4,L5,2024-03-17,True,
1036,Aarav Reddy,2,L2,2024-03-16,True,3.0
1037,Nikhil Bose,5,L1,2021-09-02,True,4.0
1038,Yash Sharma,1,L1,2021-08-11,True,3.0
1039,Zoya Nair,3,L5,2023-05-18,True,3.0
1040,Tara Patel,4,L4,2022-08-11,False,3.0
1041,Vikram Gupta,4,L1,2021-03-23,True,4.0
1042,Rohan Bose,2,L2,2023-12-04,True,
1043,Ananya Reddy,2,L4,2024-09-13,True,3.0
1044,Kabir Iyer,3,L1,2023-06-18,True,2.0
1045,Isha Patel,4,L1,2023-04-04,False,4.0
1046,Arjun Reddy,1,L4,2022-11-27,True,5.0
1047,Zoya Iyer,2,L1,2024-05-02,True,3.0
1048,Arjun Sharma,4,L1,2021-05-03,True,3.0
1049,Meera Bose,1,L1,2023-06-18,True,4.0
1050,Diya Nair,5,L1,2022-03-09,False,3.0
1051,Isha Nair,3,L3,2024-08-17,True,4.0
1052,Arjun Sharma,3,L1,2021-01-24,True,3.0
1053,Ananya Bose,5,L1,2023-11-27,True,
1054,Isha Nair,5,L2,2023-06-07,True,3.0
1055,Diya Reddy,4,L1,2023-02-21,True,4.0
1056,Diya Patel,4,L4,2022-09-22,True,3.0
1057,Yash Reddy,3,L2,2021-05-15,False,4.0
1058,Nikhil Nair,3,L1,2024-05-07,True,2.0
1059,Kabir Bose,3,L3,2023-09-21,True,2.0
1060,Kabir Reddy,1,L4,2023-10-02,True,4.0
1061,Ananya Patel,3,L5,2024-09-28,True,5.0
1062,Zoya Reddy,3,L3,2024-12-20,True,2.0
1063,Tara Reddy,5,L5,2024-09-19,True,2.0
1064,Ananya Patel,5,L1,2024-01-05,True,3.0
1065,Diya Sharma,4,L5,2023-11-08,True,2.0
1066,Kabir Patel,4,L4,2021-05-26,False,4.0
1067,Vikram Nair,2,L4,2024-08-28,True,
1068,Vikram Patel,3,L5,2021-03-11,True,4.0
1069,Rohan Sharma,5,L4,2024-01-16,True,3.0
1070,Zoya Gupta,2,L5,2024-05-15,True,3.0
1071,Isha Patel,5,L4,2022-01-10,True,
1072,Vikram Nair,3,L1,2023-10-03,True,4.0
1073,Arjun Patel,3,L3,2022-04-16,True,
1074,Sana Sharma,4,L4,2021-11-15,True,3.0
1075,Rahul Iyer,4,L1,2023-06-01,True,4.0
1076,Vikram Sharma,4,L3,2021-05-12,False,5.0
1077,Priya Khan,5,L3,2021-01-09,False,4.0
1078,Arjun Khan,2,L5,2022-06-07,True,5.0
1079,Rahul Nair,1,L1,2024-01-24,True,3.0
1080,Diya Reddy,3,L2,2023-08-14,True,4.0
1081,Arjun Khan,3,L2,2024-05-16,True,5.0
1082,Sana Patel,1,L2,2022-09-26,True,3.0
1083,Yash Khan,4,L2,2023-09-07,True,3.0
1084,Kabir Iyer,3,L2,2024-06-09,True,3.0
1085,Tara Khan,1,L4,2024-12-17,True,4.0
1086,Zoya Gupta,3,L5,2021-06-05,True,3.0
1087,Ananya Khan,1,L4,2023-11-15,True,4.0
1088,Diya Khan,1,L4,2022-10-16,False,5.0
1089,Yash Nair,5,L1,2023-04-05,True,3.0
1090,Diya Sharma,4,L2,2021-04-19,True,4.0
1091,Arjun Khan,2,L1,2024-02-03,True,3.0
1092,Ananya Sharma,4,L1,2023-09-10,True,4.0
1093,Ananya Bose,3,L5,2024-04-18,True,5.0
1094,Aarav Nair,3,L4,2021-11-21,True,4.0
1095,Tara Iyer,2,L2,2024-08-02,True,5.0
1096,Rahul Nair,3,L1,2024-05-24,True,3.0
1097,Vikram Gupta,2,L2,2023-04-15,True,4.0
1098,Zoya Reddy,1,L2,2024-08-14,True,2.0
1099,Rahul Sharma,5,L2,2022-01-20,True,2.0
1100,Rahul Bose,1,L3,2022-12-04,True,3.0
1101,Sana Bose,3,L1,2022-05-22,True,4.0
1102,Sana Patel,3,L1,2023-02-09,False,5.0
1103,Vikram Khan,1,L3,2024-05-27,True,3.0
1104,Zoya Nair,1,L3,2024-09-15,True,4.0
1105,Tara Nair,4,L4,2021-01-13,False,3.0
1106,Vikram Patel,1,L5,2023-06-12,True,2.0
1107,Nikhil Gupta,3,L3,2024-01-24,True,3.0
1108,Meera Bose,1,L4,2022-07-26,True,5.0
1109,Zoya Reddy,4,L1,2022-12-10,True,3.0
1110,Nikhil Iyer,5,L4,2022-06-26,True,3.0
1111,Rahul Reddy,5,L2,2022-07-03,True,
1112,Nikhil Reddy,5,L4,2024-02-03,True,3.0
1113,Tara Bose,2,L4,2021-03-08,True,
1114,Ananya Patel,5,L3,2024-05-09,True,4.0
1115,Arjun Nair,3,L4,2024-04-06,True,3.0
1116,Vikram Iyer,3,L1,2024-07-09,True,3.0
1117,Yash Sharma,1,L1,2024-01-16,True,3.0
1118,Diya Gupta,4,L2,2023-02-02,True,3.0
1119,Sana Bose,1,L5,2023-05-25,True,2.0
1120,Priya Nair,1,L1,2024-06-11,True,3.0
